Ip1, Ip2, Ip3, Ip4, Phone, SurvivalTime, AverageAnswerTime, Outcome
120,42,214,253,17016,43,1.7,1
180,165,86,200,16253,20,1.8,1
111,124,183,20,17056,1,2,1
115,201,199,247,17069,1,2.1,1
27,205,211,16,16714,1,1.8,1
180,165,86,200,17012,22,2,1
183,0,180,15,16532,2,1.9,1
39,155,69,239,16752,1,2.1,1
123,244,0,22,16533,43,1.6,1
115,48,57,219,18411,72,1.9,1
123,244,0,22,17053,20,1.9,1
1,181,243,7,16533,4,2.7,1
115,201,199,247,16521,1,1.8,1
123,244,0,22,18411,2,1.8,1
180,164,92,122,16722,1,2.1,1
180,165,86,200,17088,42,2.1,1
183,0,180,15,16533,20,1.8,1
123,244,0,22,16533,1,1.9,1
180,116,153,226,17054,4,2.6,1
180,165,86,200,17064,38,1.8,1
39,155,69,239,16534,2,1.7,1
36,248,143,27,16752,1,2,1
39,155,69,239,17054,22,1.9,1
27,186,3,129,17065,2,1.9,1
27,186,3,129,17016,1,2.1,1
180,164,92,122,17100,20,1.9,1
115,201,199,247,16532,1,1.7,1
183,0,180,15,16238,1,1.8,1
183,0,180,15,17050,44,1.8,1
27,186,3,129,17061,22,2,1
123,244,0,22,17019,1,1.7,1
115,201,199,247,16229,1,2.1,1
123,244,0,22,15874,21,2.1,1
180,164,92,122,17054,41,2,1
115,48,57,219,16533,104,1.9,1
223,94,70,150,16532,20,2,1
180,165,86,200,16533,20,1.7,1
183,0,180,15,17065,1,1.9,1
27,186,3,129,16532,39,1.8,1
223,94,70,150,18411,1,2.3,1
39,155,69,239,16532,1,1.6,1
27,205,211,16,16532,22,1.9,1
183,0,180,15,16521,21,2,1
39,155,69,239,16521,20,2,1
114,235,239,76,16533,21,1.8,1
180,165,86,200,16233,22,1.8,1
180,165,86,200,16532,41,1.7,1
36,248,143,27,16534,20,1.8,1
39,155,69,239,16750,23,2.1,1
180,164,92,122,16532,1,1.7,1
183,0,180,15,16532,42,1.9,1
183,0,180,15,17064,1,1.8,1
180,165,86,200,17064,42,1.7,1
121,204,38,138,16238,1,1.9,1
180,165,86,200,16750,42,1.9,1
123,244,0,22,16750,20,1.9,1
114,235,239,76,16533,22,2.1,1
39,155,69,239,16229,21,1.9,1
36,248,143,27,17064,24,1.8,1
183,0,180,15,17100,20,1.6,1
180,165,86,200,16533,1,1.9,1
